Provincia ;Municipio ;Estación ;Código;
Alacant ;Agost ; Agost ;03002002;
Alacant ;Alacant ; Alacant - El Pla ;03014006;
Alacant ;Alacant ; Alacant - Florida Babel ;03014008;
Alacant ;Alacant ; Alacant - Rabassa ;03014009;
Alacant ;Alacant ; Alacant_AP_D_Pesquera ;03014010;
Alacant ;Alacant ; Alacant_AP_ISM ;03014012;
Alacant ;Alacant ; Alacant_AP_T_Frutero ;03014013;
Alacant ;Alacant ; Alacant_Parc_Mar_Prov ;03014010;
València;Albalat dels Tarongers ; Albalat dels Tarongers ;46010001;
Alacant ;Alcoi ; Alcoi - Verge dels Lliris ;03009006;
València;Algar de Palancia ; Algar de Palància ;46028001;
Castelló;Almassora ; Almassora - C.P.Ochando ;12009007;
Castelló;Almassora ; Almassora UM ;12009301;
València;Alzira ; Alzira ;46017002;
Castelló;Benicàssim ; Benicassim ;12028001;
Alacant ;Benidorm ; Benidorm ;03031002;
València;Benigánim ; Benigànim ;46062001;
València;Buñol ; Buñol - Cemex ;46077006;
València;Burjassot ; Burjassot - Facultats ;46078004;
Castelló;Burriana ; Burriana ;12032001;
Castelló;Castelló de la Plana ; Castelló - Ermita ;12040009;
Castelló;Castelló de la Plana ; Castelló - Grau ;12040010;
Castelló;Castelló de la Plana ; Castelló - ITC ;12040016;
Castelló;Castelló de la Plana ; Castelló - Patronat d´Esports ;12040015;
Castelló;Castelló de la Plana ; Castelló - Penyeta ;12040008;
Castelló;Castelló de la Plana ; Castelló AP Gregal ;12040302;
Castelló;Castelló de la Plana ; Castelló AP Llevant ;12040303;
Castelló;Castelló de la Plana ; Castelló AP Ponent ;12040304;
Castelló;Castelló de la Plana ; Castelló AP Tramuntana ;12040301;
Castelló;Castelló de la Plana ; Castelló AP Xaloc ;12040305;
València;Caudete de las Fuentes ; Caudete de las Fuentes ;46095001;
València;Chiva; Chiva;46111301;
Castelló;Cirat ; Cirat ;12046001;
València;Cortes de Pallás ; Cortes de Pallás ;46099001;
Alacant ;Elda ; Elda - Lacy ;03066003;
Alacant ;Elx ; Elx - Agroalimentari ;03065006;
Alacant ;Elx ; Elx - Parc de Bombers ;03065007;
València;Gandia ; Gandia ;46131002;
Castelló;La Pobla de Benifassà ; Coratxar ;12093004;
Castelló;La Vall d'Uixó ; La Vall d´Uixó ;12126003;
Castelló;L'Alcora ; L´Alcora ;12005005;
Castelló;L'Alcora ; L´Alcora - PM ;12005004;
Castelló;Morella ; Morella ;12080007;
Castelló;Onda ; Onda ;12084003;
València;Ontinyent ; Ontinyent ;46184002;
Alacant ;Orihuela ; Orihuela ;03099002;
València;Paterna ; Paterna - CEAM ;46190005;
Alacant ;Pinoso ; El Pinós ;03105001;
València;Quart de Poblet ; Quart de Poblet ;46102002;
València;Sagunt ; Sagunt - CEA ;46220010;
València;Sagunt ; Sagunt - Nord ;46220009;
València;Sagunt ; Sagunt - Port ;46220003;
València;Silla;Silla;46230002;
Castelló;San Jorge ; Sant Jordi ;12099001;
Castelló;Torre Endoménech ; Torre Endoménech ;12120001;
València;Torrebaja ; Torrebaja ;46242001;
València;Torrent ; Torrent-El Vedat ;46244003;
Alacant ;Torrevieja ; Torrevieja ;03133002;
València;Valencia ; València - Avd. Francia ;46250047;
València;Valencia ; València - Bulevard Sud ;46250050;
València;Valencia ; València - Centre ;46250054;
València;Valencia ; València - Molí del Sol ;46250048;
València;Valencia ; València - Pista de Silla ;46250030 ;
València;Valencia ; València - Politècnic ;46250046;
València;Valencia ; València - Vivers ;46250043;
València;Valencia ;València – Nazaret-Met;46250041;
València;Valencia ; València-Conselleria Meteo. ;46250049;
Castelló;Vall d'Alba ; Vall d´Alba PM ;12124001;
València;Vilamarxant ; Vilamarxant ;46256001;
Castelló;Vila-real ; Vila-real-PM ;12135004;
Castelló;Villafranca del Cid ; Vilafranca ;12129001;
València;Villar del Arzobispo ; Villar del Arzobispo ;46258001;
Castelló;Viver ; Viver ;12140002;
Castelló;Zorita del Maestrazgo ; Zorita ;12141002;
